,asal,lowongan,perusahaan,lokasi,keterangan,skill,benefit,deskripsi,stem,link
10,jobstreet,Sales Staff,PT Extramarks Education Indonesia,Jakarta Raya Tangerang Bogor Bekasi Bandung Bali Malang Surabaya Jawa Tengah,-,-,-, Deskripsi Pekerjaan  Job Description  Mengunjungi Instansi yang potensial untuk pengembangan bisnis  Melakukan presentasi dan negosiasi  Melengkapi tugas pekerjaan administrasi dan tugas prioritas yang ditugaskan oleh atasan  Mencapai target penjualan yang telah ditetapkan oleh perusahaan  Bertanggung jawab dan melapor kepada atasan terkait  Minimum Qualifications  Lulusan D3 S1 usia maksimal 30 tahun  Berpenampilan menarik  Menyukai pekerjaan yang bersifat lapangan  Terbiasa B2B  business to business  B2C  business to customer  dan B2G  Memiliki kemampuan komunikasi negosisasi presentasi yang baik  Suka dengan tantangan baru dapat mencapai target penjualan  Dapat bekerja secara individu atau dalam team  Mempunyai kendaraan roda dua dan SIM C  Bersedia ditempatkan di Jabodetabek Bandung Cirebon Jatim dan Jateng  Informasi Tambahan  Tingkat Pekerjaan  Pegawai  non manajemen   non supervisor   Kualifikasi  Tidak terspesifikasi  Pengalaman Kerja  1 tahun  Jenis Pekerjaan  Penuh Waktu  Spesialisasi Pekerjaan  Penjualan   Pemasaran    Penjualan Ritel ,sale staff pt extramark educ indonesia jakarta raya tangerang bogor bekas bandung bal malang surabaya jawa tengah deskripsi kerja job descript unjung instansi yang potensi untuk kembang bisni laku presentasi dan negosiasi lengkap tuga kerja administrasi dan tuga priorita yang tugas oleh atas capai target jual yang telah tetap oleh usaha tanggung jawab dan lapor kepada atas kait minimum qualif lulus d3 s1 usia maksim 30 tahun tampil tarik suka kerja yang sifat lapang biasa b2b busi to busi b2c busi to custom dan b2g milik mampu komunikasi negosisasi presentasi yang baik suka dengan tantang baru dapat capai target jual dapat kerja cara individu atau dalam team punya kendara roda dua dan sim c sedia tempat di jabodetabek bandung cirebon jatim dan jateng informasi tambah tingkat kerja pegawai non manajemen non supervisor kualifikasi tidak spesifikasi alam kerja 1 tahun jeni kerja penuh waktu spesialisasi kerja jual pasar jual ritel,https://www.jobstreet.co.id/id/job/sales-staff-3739993?jobId=jobstreet-id-job-3739993&sectionRank=1&token=0~92f5e882-af3c-4005-b47a-e018c33c5d90&fr=SRP%20Job%20Listing
11,jobstreet,ADMINISTRASI,PT Buana Cahayatama,Surabaya,-,-,-, Deskripsi Pekerjaan  Kualifikasi    S1 semua Jurusan  Mampu mengoperasikan MS Office dan Internet  Fresh Graduated   Pengalaman minimal 1 tahun  Bahasa Inggris pasif  Mampu menghadapi tekanan  Di tempatkan di Surabaya  Tugas dan Tanggung Jawab    Mengerjakan administrasi  ·Expediting pengadaan barang  ·Mengatur penjadwalan pengiriman barang  ·Merespon surat dan email dari customer dan supplier  ·Mengatur jadwal dan pekerjaan project di site  Menjalin komunikasi yang baik dengan customer dan supplier  Informasi Tambahan  Tingkat Pekerjaan  Pegawai  non manajemen   non supervisor   Kualifikasi  Sarjana  S1   Pengalaman Kerja  1 tahun  Jenis Pekerjaan  Penuh Waktu  Spesialisasi Pekerjaan  Sumber Daya Manusia Personalia    Staf   Administrasi umum ,administrasi pt buana cahayatama surabaya deskripsi kerja kualifikasi s1 semua jurus mampu operasi ms offic dan internet fresh graduat alam minim 1 tahun bahasa inggri pasif mampu hadap tekan di tempat di surabaya tuga dan tanggung jawab kerja administrasi expedit ada barang atur jadwal kirim barang merespon surat dan email dari custom dan supplier atur jadwal dan kerja project di site jalin komunikasi yang baik dengan custom dan supplier informasi tambah tingkat kerja pegawai non manajemen non supervisor kualifikasi sarjana s1 alam kerja 1 tahun jeni kerja penuh waktu spesialisasi kerja sumber daya manusia personalia staf administrasi umum,https://www.jobstreet.co.id/id/job/administrasi-3741651?jobId=jobstreet-id-job-3741651&sectionRank=2&token=0~92f5e882-af3c-4005-b47a-e018c33c5d90&fr=SRP%20Job%20Listing
12,jobstreet,Sales Tyre,PT Astra Kencana Graha,Bali Jakarta Raya Bandung Surabaya Sidoarjo,-,-,-, Deskripsi Pekerjaan  Memiliki pengalaman minimal 1 Tahun di bidang penjualan diutamakan memiliki pengalaman sebagai sales Ban  Minimal lulusan SMA SMK  Lebih disukai berpengalaman dibidang otomotif  Memiliki kemampuan penjualan negoisasi dan relasi customer  Preferably Staff  non management   non supervisor  specialized in Sales   Retail General or equivalent   Memiliki SIM C dan kendaraan pribadi  motor   Memiliki relasi toko toko di area Jabodetabek Jawa Barat Jawa Timur dan Bali  bengkel mobil bengkel ban mobil   Target Oriented  Informasi Tambahan  Tingkat Pekerjaan  Pegawai  non manajemen   non supervisor   Kualifikasi  SMA SMU SMK STM Sertifikat Professional D3  Diploma  D4  Diploma  Sarjana  S1   Pengalaman Kerja  1 tahun  Jenis Pekerjaan  Penuh Waktu  Spesialisasi Pekerjaan  Penjualan   Pemasaran    Penjualan Ritel ,sale tyre pt astra kencana graha bal jakarta raya bandung surabaya sidoarjo deskripsi kerja milik alam minim 1 tahun di bidang jual utama milik alam bagai sale ban minim lulus sma smk lebih suka alam bidang otomotif milik mampu jual negoisasi dan relasi custom prefer staff non manag non supervisor special in sale retail gener or equival milik sim c dan kendara pribadi motor milik relasi toko toko di area jabodetabek jawa barat jawa timur dan bal bengkel mobil bengkel ban mobil target orient informasi tambah tingkat kerja pegawai non manajemen non supervisor kualifikasi sma smu smk stm sertifikat profession d3 diploma d4 diploma sarjana s1 alam kerja 1 tahun jeni kerja penuh waktu spesialisasi kerja jual pasar jual ritel,https://www.jobstreet.co.id/id/job/sales-tyre-3740001?jobId=jobstreet-id-job-3740001&sectionRank=3&token=0~92f5e882-af3c-4005-b47a-e018c33c5d90&fr=SRP%20Job%20Listing
13,jobstreet,General Admin,PT Andalan Mandiri Raya,Surabaya,-,-,-, Keuntungan  Kesehatan  Parkir  Deskripsi Pekerjaan  Maximal umur 28 tahun  Penididikan minimal S1  Fresh graduate atau berpengalaman  Bisa mengoperasikan MS Office  Berpenampilan rapi  Jujur teliti dan terampil  Terbiasa bekerja dalam tekanan  Bersedia melakukan perjalanan luar kota  Berorientasi kepada proses dan hasil yang baik  Informasi Tambahan  Tingkat Pekerjaan  Pegawai  non manajemen   non supervisor   Kualifikasi  Tidak terspesifikasi  Jenis Pekerjaan  Penuh Waktu  Spesialisasi Pekerjaan  Sumber Daya Manusia Personalia    Staf   Administrasi umum ,gener admin pt andal mandiri raya surabaya untung sehat parkir deskripsi kerja maxim umur 28 tahun penididikan minim s1 fresh graduat atau alam bisa operasi ms offic tampil rapi jujur teliti dan terampil biasa kerja dalam tekan sedia laku jalan luar kota orientasi kepada prose dan hasil yang baik informasi tambah tingkat kerja pegawai non manajemen non supervisor kualifikasi tidak spesifikasi jeni kerja penuh waktu spesialisasi kerja sumber daya manusia personalia staf administrasi umum,https://www.jobstreet.co.id/id/job/general-admin-3741972?jobId=jobstreet-id-job-3741972&sectionRank=6&token=0~92f5e882-af3c-4005-b47a-e018c33c5d90&fr=SRP%20Job%20Listing
14,jobstreet,Staff Admin Operasional Umum,PT Jin Bang Da Technology,Surabaya,-,-,-, Keuntungan  Gaji Fasilitas umum BPJS  Deskripsi Pekerjaan  Lingkup pekerjaan     Memeriksa barang yang keluar dan masuk ke gudang membuat kode packing atau identitas pada barang di gudang   membuat laporan keluar masuk barang di gudang secara manual update di program sistem dan pembuatan laporan berkala  Termasuk mencari vendor transportasi  truk ekspedisi  untuk pengiriman barang keluar kota maupun dalam kota    Melakukan pekerjaan umum operasional perusahaan baik didalam dan luar kantor    Bersedia sewaktu waktu melakukan pekerjaan administrasi dan serabutan lainnya   Syarat      Memiliki pengalaman sebagai admin gudang checker dan pelaksana dilapangan  WAJIB Minimal 1 tahun      Pernah memiliki pengalaman sebagai Team Leader Gudang dan koordinasi dengan vendor logistik  Diutamakan       Menguasai Ms Office  Memiliki kemampuan dan tertarik design konten kreatif untuk social media  Menjadi nilai tambah      Memiliki wawasan pengetahuan di bidang IT  Menjadi nilai tambah     Rajin inisiatif kreatif mudah beradaptasi dengan lingkungan baru teliti dan minat belajar wawasan lainnya     Dapat bekerja dalam tekanan pekerjaan dan mengikuti instruksi atasannya     Bisa bekerja secara mandiri dan kerjasama tim     Bisa sedikit bahasa Mandarin  Menjadi nilai tambah      Memiliki SIM C  minimal  SIM A  Menjadi nilai tambah    Jenis Pekerjaan  Penuh Waktu  Tempat Pekerjaan   Surabaya Barat  Informasi Tambahan  Tingkat Pekerjaan  Pegawai  non manajemen   non supervisor   Kualifikasi  Sertifikat Professional D3  Diploma  D4  Diploma  Sarjana  S1  Diploma Pascasarjana Gelar Professional Magister  S2   Pengalaman Kerja  1 tahun  Jenis Pekerjaan  Penuh Waktu  Spesialisasi Pekerjaan  Sumber Daya Manusia Personalia    Staf   Administrasi umum ,staff admin operasion umum pt jin bang da technolog surabaya untung gaji fasilita umum bpj deskripsi kerja lingkup kerja periksa barang yang keluar dan masuk ke gudang buat kode pack atau identita pada barang di gudang buat lapor keluar masuk barang di gudang cara manual updat di program sistem dan buat lapor kala masuk cari vendor transportasi truk ekspedisi untuk kirim barang keluar kota maupun dalam kota laku kerja umum operasion usaha baik dalam dan luar kantor sedia waktu waktu laku kerja administrasi dan serabutan lain syarat milik alam bagai admin gudang checker dan laksana lapang wajib minim 1 tahun pernah milik alam bagai team leader gudang dan koordinasi dengan vendor logistik utama kuasa ms offic milik mampu dan tarik design konten kreatif untuk social media jadi nilai tambah milik wawas tahu di bidang it jadi nilai tambah rajin inisiatif kreatif mudah adaptasi dengan lingkung baru teliti dan minat ajar wawas lain dapat kerja dalam tekan kerja dan ikut instruksi atas bisa kerja cara mandiri dan kerjasama tim bisa sedikit bahasa mandarin jadi nilai tambah milik sim c minim sim a jadi nilai tambah jeni kerja penuh waktu tempat kerja surabaya barat informasi tambah tingkat kerja pegawai non manajemen non supervisor kualifikasi sertifikat profession d3 diploma d4 diploma sarjana s1 diploma pascasarjana gelar profession magist s2 alam kerja 1 tahun jeni kerja penuh waktu spesialisasi kerja sumber daya manusia personalia staf administrasi umum,https://www.jobstreet.co.id/id/job/staff-admin-operasional-umum-3740341?jobId=jobstreet-id-job-3740341&sectionRank=7&token=0~92f5e882-af3c-4005-b47a-e018c33c5d90&fr=SRP%20Job%20Listing
15,jobstreet,Human Resource,PT. BENUA EMAS JAYA RAYA,Surabaya,-,-,-, Deskripsi Pekerjaan  Syarat  Pendidikan Minimal S1 Psikologi Hukum Management  Usia Maksimal 35  Berpengalaman sebagai Staff HRD minimal 2 tahun  Terbiasa dalam mengerjakan administrasi HRD dari awal proses masuk sampai proses PHK  Memahami UUTK 13 th 2003 dan UU Cipta kerja  Memahami sistem Payroll  Tegas mampu berkomunikasi dengan baik dan mampu menyelesaikan masalah  Terbiasa dengan tekanan dan sistem kerja yang membutuhkan ketelitian dan kontrol yang ketat  Cekatan Inisiatif dan bertanggung jawab  Informasi Tambahan  Tingkat Pekerjaan  Supervisor Koordinator  Kualifikasi  Sarjana  S1   Pengalaman Kerja  2 tahun  Jenis Pekerjaan  Kontrak  Spesialisasi Pekerjaan  Sumber Daya Manusia Personalia    Sumber Daya Manusia   HR ,human resourc pt benua ema jaya raya surabaya deskripsi kerja syarat didik minim s1 psikolog hukum manag usia maksim 35 alam bagai staff hrd minim 2 tahun biasa dalam kerja administrasi hrd dari awal prose masuk sampai prose phk paham uutk 13 th 2003 dan uu cipta kerja paham sistem payrol tega mampu komunikasi dengan baik dan mampu selesai masalah biasa dengan tekan dan sistem kerja yang butuh teliti dan kontrol yang ketat cekat inisiatif dan tanggung jawab informasi tambah tingkat kerja supervisor koordin kualifikasi sarjana s1 alam kerja 2 tahun jeni kerja kontrak spesialisasi kerja sumber daya manusia personalia sumber daya manusia hr,https://www.jobstreet.co.id/id/job/human-resource-3740686?jobId=jobstreet-id-job-3740686&sectionRank=8&token=0~92f5e882-af3c-4005-b47a-e018c33c5d90&fr=SRP%20Job%20Listing
16,jobstreet,Development Staff,PT Arisu Graphic Prima,Surabaya,-,-,-, Keuntungan  Jenjang Karir  Bpjs Kesehatan   BPJS Ketenagarkerjaan  Deskripsi Pekerjaan  Tanggung Jawab   Tugas  Mempersiapkan material yang diperlukan untuk pelaksanaan trial  Melaksanakan trial dan proses development sesuai jadwal yang sudah disusun  Melakukan pemeriksaan kualitas produk hasil trial sesuai IK dan spesifikasi dari customer  Memastikan barang hasil pengembangan produk sampai ditangan konsumen  supplier  Melakukan pemeriksaan sample dari supplier  Mengontrol segala dokumen dan aktivitas kerja yang dilakukan sesuai dengan prosedur pengendalian dokumen catatan   Memahami tentang metode pengecekan sampling  Mampu menggunakan alat pengukuran seperti caliper dll  Membuat laporan  Kualifikasi  Pendidikan Minimal S1 Jurusan Teknik   Grafika  Minimal pengalaman 2 tahun di bidang yang sama di perusahaan Manufaktur   Menguasai pembuatan laporan menggunakan Program SAP dan Office  Dapat bekerjasama secara team atau individu   Kreatifitas dan Management waktu yang baik  Mampu bekerja di bawah target  Menguasai software autocad solidwork lebih diutamakan  Menguasai bahasa inggris lebih disukai  Penempatan Surabaya  Informasi Tambahan  Tingkat Pekerjaan  Pegawai  non manajemen   non supervisor   Kualifikasi  Sarjana  S1   Pengalaman Kerja  2 tahun  Jenis Pekerjaan  Kontrak  Spesialisasi Pekerjaan  Penjualan   Pemasaran    Pemasaran Pengembangan Bisnis ,develop staff pt arisu graphic prima surabaya untung jenjang karir bpj sehat bpj ketenagarkerjaan deskripsi kerja tanggung jawab tuga siap materi yang perlu untuk laksana trial laksana trial dan prose develop sesuai jadwal yang sudah susun laku periksa kualita produk hasil trial sesuai ik dan spesifikasi dari custom pasti barang hasil kembang produk sampai tang konsumen supplier laku periksa sampl dari supplier kontrol segala dokumen dan aktivita kerja yang laku sesuai dengan prosedur kendali dokumen catat paham tentang metod kece sampl mampu guna alat ukur seperti calip dll buat lapor kualifikasi didik minim s1 jurus teknik grafika minim alam 2 tahun di bidang yang sama di usaha manufaktur kuasa buat lapor guna program sap dan offic dapat bekerjasama cara team atau individu kreatifita dan manag waktu yang baik mampu kerja di bawah target kuasa softwar autocad solidwork lebih utama kuasa bahasa inggri lebih suka tempat surabaya informasi tambah tingkat kerja pegawai non manajemen non supervisor kualifikasi sarjana s1 alam kerja 2 tahun jeni kerja kontrak spesialisasi kerja jual pasar pasar kembang bisni,https://www.jobstreet.co.id/id/job/development-staff-3742012?jobId=jobstreet-id-job-3742012&sectionRank=10&token=0~92f5e882-af3c-4005-b47a-e018c33c5d90&fr=SRP%20Job%20Listing
17,jobstreet,Human Resources Staff,PT Tirtakencana Tatawarna (Head Office),Surabaya,-,-,-, Keuntungan  BPJS Kesehatan   BPJS Ketenagakerjaan  Fasilitas Olahraga dan Makan Siang  5 Hari Kerja  Senin   Jumat   Deskripsi Pekerjaan  Kualifikasi   Usia maksimal 28 tahun  Pendidikan minimal S1 Semua Jurusan IPK min  3 00  Memiliki pengalaman mengerjakan BPJS Kesehatan dan Ketenagakerjaan minimal 2 tahun  Mampu mengoperasikan Ms  Excel dengan baik  Bertanggung jawab teliti tanggap dan cekatan  Mampu bekerja dibawah tekanan  Penempatan Surabaya  Deskripsi Pekerjaan   Melakukan penginputan data karyawan baru karyawan keluar di program HRMS perusahaan  Mendaftarkan karyawan ke BPJS Kesehatan dan Ketenagakerjaan serta menghitung pembayaran  Melakukan report absensi karyawan  Mengerjakan payroll dan berbagai tugas administrasi lainnya  Informasi Tambahan  Tingkat Pekerjaan  Pegawai  non manajemen   non supervisor   Kualifikasi  Sarjana  S1   Pengalaman Kerja  2 tahun  Jenis Pekerjaan  Penuh Waktu  Spesialisasi Pekerjaan  Sumber Daya Manusia Personalia    Sumber Daya Manusia   HR ,human resourc staff pt tirtakencana tatawarna head offic surabaya untung bpj sehat bpj ketenagakerjaan fasilita olahraga dan makan siang 5 hari kerja senin jumat deskripsi kerja kualifikasi usia maksim 28 tahun didik minim s1 semua jurus ipk min 3 00 milik alam kerja bpj sehat dan ketenagakerjaan minim 2 tahun mampu operasi ms excel dengan baik tanggung jawab teliti tanggap dan cekat mampu kerja bawah tekan tempat surabaya deskripsi kerja laku penginputan data karyawan baru karyawan keluar di program hrm usaha daftar karyawan ke bpj sehat dan ketenagakerjaan serta hitung bayar laku report absensi karyawan kerja payrol dan bagai tuga administrasi lain informasi tambah tingkat kerja pegawai non manajemen non supervisor kualifikasi sarjana s1 alam kerja 2 tahun jeni kerja penuh waktu spesialisasi kerja sumber daya manusia personalia sumber daya manusia hr,https://www.jobstreet.co.id/id/job/human-resources-staff-3739309?jobId=jobstreet-id-job-3739309&sectionRank=11&token=0~92f5e882-af3c-4005-b47a-e018c33c5d90&fr=SRP%20Job%20Listing
18,jobstreet,Internal Audit Staff (untuk Proses Produksi),PT. Sahabat Evervan Sejahtera,Surabaya,-,-,-, Deskripsi Pekerjaan  Memeriksa kelengkapan bon kerja produksi   Melakukan entry terhadap bon kerja produksi   Melakukan analisa terhadap hasil entry bon kerja produksi   Membuat laporan terhadap analisa proses kerja produksi berdasarkan data entry bon kerja   Memberikan solusi terhadap temuan dalam laporan kerja   Kualifikasi  Pendidikan min Diploma segala jurusan   Jujur teliti tegas kritis tidak mudah menyerah menyukai angka kreatif mencari solusi dan memiliki logika berpikir yang baik   Menyukai pekerjaan administratif mampu berpikir secara sistematis serta terbiasa bekerja dengan deadline   Kreatif dalam berpikir dan inovatif dalam memberikan solusi   Komunikatif dan memiliki people skill yang baik   Mampu bekerja dengan menggunakan komputer  program Office    Bersedia bekerja secara full time dan ditempatkan di Surabaya   Tugas tanggung jawab dan kualifikasi harap dibaca baik baik sebelum apply untuk posisi yang kami tawarkan   Negosiasi gaji akan dilakukan apabila kandidat lolos seleksi dari Perusahaan   Informasi Tambahan  Tingkat Pekerjaan  Pegawai  non manajemen   non supervisor   Kualifikasi  Sertifikat Professional D3  Diploma  D4  Diploma   Pengalaman Kerja  1 tahun  Jenis Pekerjaan  Kontrak  Spesialisasi Pekerjaan  Sumber Daya Manusia Personalia    Staf   Administrasi umum ,intern audit staff untuk prose produksi pt sahabat evervan sejahtera surabaya deskripsi kerja periksa lengkap bon kerja produksi laku entri hadap bon kerja produksi laku analisa hadap hasil entri bon kerja produksi buat lapor hadap analisa prose kerja produksi dasar data entri bon kerja beri solusi hadap temu dalam lapor kerja kualifikasi didik min diploma segala jurus jujur teliti tega kriti tidak mudah serah suka angka kreatif cari solusi dan milik logika pikir yang baik suka kerja administratif mampu pikir cara sistemati serta biasa kerja dengan deadlin kreatif dalam pikir dan inovatif dalam beri solusi komunikatif dan milik peopl skill yang baik mampu kerja dengan guna komput program offic sedia kerja cara full time dan tempat di surabaya tuga tanggung jawab dan kualifikasi harap baca baik baik belum appli untuk posisi yang kami tawar negosiasi gaji akan laku apabila kandidat lolo seleksi dari usaha informasi tambah tingkat kerja pegawai non manajemen non supervisor kualifikasi sertifikat profession d3 diploma d4 diploma alam kerja 1 tahun jeni kerja kontrak spesialisasi kerja sumber daya manusia personalia staf administrasi umum,https://www.jobstreet.co.id/id/job/internal-audit-staff-untuk-proses-produksi-3741385?jobId=jobstreet-id-job-3741385&sectionRank=12&token=0~92f5e882-af3c-4005-b47a-e018c33c5d90&fr=SRP%20Job%20Listing
19,jobstreet,Administrasi Toko,CV RAJAWALI BINA MAJU,Surabaya,-,-,-, Deskripsi Pekerjaan  Kriteria   Pendidikan diploma sarjana sederajat lulusan finance accounting  management  FG dipersilahkan   Disiplin jujur dan bertanggung jawab  Bekerja cepat adaptif dan teliti  Dapat bekerja dengan tim ataupun individu  Terampil menggunakan komputer terutama Ms  Office  Dapat belajar hal baru dengan cepat  Memiliki inisiatif dapat bekerja dibawah tekanan dan bekerja dengan target  Bisa design tiktok atau media sosial  nilai plus   Tugas dan Tanggung Jawab   Membuat invoice faktur pajak penjualan dan rekap penjualan  Diutamakan mengerti sistem accurate  Membuat memeriksa menerbitkan dan mendokumentasi beserta nota penjualan PO surat jalan dan dokumen pendukung lainnya   Input surat menyurat menyiapkan membuat dan membukukan setiap transaksi keuangan   Menerima mencatat mendokumentasikan data dan kegiatan lainnya yang berkaitan dengan semua aktifitas penjualan  termasuk keluhan konsumen   Membuat laporan keuangan  Hanya kandidat yang sesuai dengan kriteria yang akan kami proses lebih lanjut   Informasi Tambahan  Tingkat Pekerjaan  Lulusan baru Pengalaman kerja kurang dari 1 tahun  Kualifikasi  Sertifikat Professional D3  Diploma  D4  Diploma  Sarjana  S1  Diploma Pascasarjana Gelar Professional Magister  S2   Pengalaman Kerja  2 tahun  Jenis Pekerjaan  Penuh Waktu  Spesialisasi Pekerjaan  Sumber Daya Manusia Personalia    Staf   Administrasi umum ,administrasi toko cv rajawali bina maju surabaya deskripsi kerja kriteria didik diploma sarjana derajat lulus financ account manag fg silah disiplin jujur dan tanggung jawab kerja cepat adaptif dan teliti dapat kerja dengan tim atau individu terampil guna komput utama ms offic dapat ajar hal baru dengan cepat milik inisiatif dapat kerja bawah tekan dan kerja dengan target bisa design tiktok atau media sosial nilai plu tuga dan tanggung jawab buat invoic faktur pajak jual dan rekap jual utama erti sistem accur buat periksa terbit dan dokumentasi serta nota jual po surat jalan dan dokumen dukung lain input surat surat siap buat dan buku tiap transaksi uang terima catat dokumentasi data dan giat lain yang kait dengan semua aktifita jual masuk keluh konsumen buat lapor uang hanya kandidat yang sesuai dengan kriteria yang akan kami prose lebih lanjut informasi tambah tingkat kerja lulus baru alam kerja kurang dari 1 tahun kualifikasi sertifikat profession d3 diploma d4 diploma sarjana s1 diploma pascasarjana gelar profession magist s2 alam kerja 2 tahun jeni kerja penuh waktu spesialisasi kerja sumber daya manusia personalia staf administrasi umum,https://www.jobstreet.co.id/id/job/administrasi-toko-3739566?jobId=jobstreet-id-job-3739566&sectionRank=13&token=0~92f5e882-af3c-4005-b47a-e018c33c5d90&fr=SRP%20Job%20Listing
20,jobstreet,Finance admin,PT Trisakti Jaya Perkasa,Surabaya,-,-,-, Deskripsi Pekerjaan  Tugas   Tanggung Jawab    Mencatat semua data piutang pelanggan berdasarkan seluruh faktur yang tercetak  Melakukan penagihan kepada pelanggan via telepon  e mail  Menyiapkan daftar tagihan serta kelengkapannya untuk ditagihkan sesuai dengan tanggal cetak  Melakukan pantauan terhadap akun pelanggan baik yang melakukan pembayaran lancar dan maupun yang terhambat  Membuat laporan piutang mingguan dan bulanan  Melakukan pengarsipan dokumen penagihan dengan rapih  Informasi Tambahan  Tingkat Pekerjaan  Pegawai  non manajemen   non supervisor   Kualifikasi  Tidak terspesifikasi  Pengalaman Kerja  3 tahun  Jenis Pekerjaan  Penuh Waktu  Spesialisasi Pekerjaan  Akuntansi   Keuangan    Akuntansi Umum   Pembiayaan ,financ admin pt trisakti jaya perkasa surabaya deskripsi kerja tuga tanggung jawab catat semua data piutang langgan dasar seluruh faktur yang cetak laku tagih kepada langgan via telepon e mail siap daftar tagih serta lengkap untuk tagih sesuai dengan tanggal cetak laku pantau hadap akun langgan baik yang laku bayar lancar dan maupun yang hambat buat lapor piutang minggu dan bulan laku arsip dokumen tagih dengan rapih informasi tambah tingkat kerja pegawai non manajemen non supervisor kualifikasi tidak spesifikasi alam kerja 3 tahun jeni kerja penuh waktu spesialisasi kerja akuntansi uang akuntansi umum biaya,https://www.jobstreet.co.id/id/job/finance-admin-3740657?jobId=jobstreet-id-job-3740657&sectionRank=17&token=0~92f5e882-af3c-4005-b47a-e018c33c5d90&fr=SRP%20Job%20Listing
21,jobstreet,Supervisor Produksi,PT. Hasil Abadi Perdana,Surabaya,-,-,-, Deskripsi Pekerjaan  Klasifikasi   Minimal S1 Teknik Mesin  Teknik Kimia  Pengalaman Minimal 2 tahun  Memiliki Pengetahuan Tentang proses CPO  Memahami ISO 9001 2015  Memahami tentang FSSC 22000 2013  Tugas dan tanggung Jawab   Memonitor pelaksanaan proses produksi agar sesuai dengan jadual yang telah ditetapkan   Memastikan bahwa peralatan produksi dapat bekerja dengan baik dan sesuai dengan fungsinya   Menjaga kualitas dan kuantitas minyak yang diproduksi agar sesuai dengan Production Order   Bertanggung jawab terhadap penggunaan bahan bakar dan berusaha optimal agar di dalam penggunaan tersebut tidak berlebihan   Bertanggung jawab terhadap pencapaian target produksi sesuai dengan kualitas dan kuantitas yang telah ditentukan   Meminimalkan timbulnya kecelakaan kerja baik terhadap personil maupun alat kerja   Bertanggung jawab terhadap kinerja dan kedisiplinan karyawan yang berada di bawah tanggung jawabnya   Membina kinerja SDM yang berada di bawah tanggung jawabnya   Melakukan evaluasi kinerja SDM yang berada di bawah tanggung jawabnya   Membuat laporan yang menyangkut tugas dan tanggung jawab terhadap atasan   Menerapkan Sistem Manajemen Mutu ISO 9001 Sistem Manajemen Keamanan Pangan FSSC 22000 Sistem Jaminan Halal dan GMP  yang berkaitan dengan pekerjaannya   Menjaga kebersihan dan keamanan lingkungan kerjanya   Informasi Tambahan  Tingkat Pekerjaan  Supervisor Koordinator  Kualifikasi  Sarjana  S1   Pengalaman Kerja  2 tahun  Jenis Pekerjaan  Penuh Waktu  Spesialisasi Pekerjaan  Manufaktur    Manufaktur ,supervisor produksi pt hasil abadi perdana surabaya deskripsi kerja klasifikasi minim s1 teknik mesin teknik kimia alam minim 2 tahun milik tahu tentang prose cpo paham iso 9001 2015 paham tentang fssc 22000 2013 tuga dan tanggung jawab monitor laksana prose produksi agar sesuai dengan jadual yang telah tetap pasti bahwa alat produksi dapat kerja dengan baik dan sesuai dengan fungsi jaga kualita dan kuantita minyak yang produksi agar sesuai dengan product order tanggung jawab hadap guna bahan bakar dan usaha optim agar di dalam guna sebut tidak lebih tanggung jawab hadap capai target produksi sesuai dengan kualita dan kuantita yang telah tentu minimal timbul celaka kerja baik hadap personil maupun alat kerja tanggung jawab hadap kerja dan disiplin karyawan yang ada di bawah tanggung jawab bina kerja sdm yang ada di bawah tanggung jawab laku evaluasi kerja sdm yang ada di bawah tanggung jawab buat lapor yang sangkut tuga dan tanggung jawab hadap atas terap sistem manajemen mutu iso 9001 sistem manajemen aman pangan fssc 22000 sistem jamin halal dan gmp yang kait dengan kerja jaga bersih dan aman lingkung kerja informasi tambah tingkat kerja supervisor koordin kualifikasi sarjana s1 alam kerja 2 tahun jeni kerja penuh waktu spesialisasi kerja manufaktur manufaktur,https://www.jobstreet.co.id/id/job/supervisor-produksi-3741428?jobId=jobstreet-id-job-3741428&sectionRank=18&token=0~92f5e882-af3c-4005-b47a-e018c33c5d90&fr=SRP%20Job%20Listing
